组别,作者,标题,年份,来源,卷,期,页码,类型,DOI,被引用次数
中文,"刘峤;李杨;段宏;刘瑶;秦志光","知识图谱构建技术综述",2016,"计算机研究与发展","53","3","582-600","期刊论文","—","未获取"
中文,"徐增林;盛泳潘;贺丽荣;王雅芳","知识图谱技术综述",2016,"电子科技大学学报","45","4","589-606","期刊论文","—","未获取"
中文,"程学旗;靳小龙;王元卓;郭嘉丰;张铁赢;李国杰","大数据系统和分析技术综述",2014,"软件学报","25","9","1889-1908","期刊论文","10.13328/j.cnki.jos.004674","未获取"
中文,"王昊奋;漆桂林;陈华钧","知识图谱: 方法、实践与应用",2019,"电子工业出版社","—","—","—","图书","—","未获取"
中文,"赵军;刘康;何世柱","知识图谱",2018,"高等教育出版社","—","—","—","图书","—","未获取"
中文,"张金川;金之钧;袁明生","页岩气成藏机理和分布",2004,"天然气工业","24","7","—","期刊论文","—","未获取"
中文,"邹才能;董大忠;王社教;李建忠;李新景;王玉满等","页岩气形成机理、地质特征及资源潜力",2010,"石油勘探与开发","37","6","641-653","期刊论文","—","未获取"
中文,"董大忠;邹才能;杨桦;王玉满;李新景;陈更生等","中国页岩气勘探开发进展与发展前景",2016,"天然气工业","36","1","—","期刊论文","—","未获取"
中文,"郭旭升","涪陵页岩气田发现的启示与思考",2014,"天然气工业","34","12","—","期刊论文","—","未获取"
中文,"聂海宽;唐玄;边瑞康","四川盆地及其周缘下古生界页岩气成藏条件及勘探潜力",2012,"石油学报","33","3","—","期刊论文","—","未获取"
中文,"赵金洲;任岚;蒋廷学;胡东风;吴磊泽","中国页岩气压裂十年: 回顾与展望",2022,"天然气工业","42","4","—","期刊论文","—","未获取"
中文,"余婷婷;王红岩;刘洪林;王晓梅","页岩气开发面临的环保挑战及建议",2013,"天然气工业","33","9","—","期刊论文","—","未获取"
中文,"蒋廷学;贾长贵;王海涛等","页岩气水平井体积压裂技术及应用",2014,"天然气工业","34","12","—","期刊论文","—","未获取"
中文,"李相方;胡勇;张烈辉等","页岩气藏开发理论与技术研究进展",2011,"天然气工业","31","12","—","期刊论文","—","未获取"
中文,"张抗","中国页岩气发展前景与挑战",2012,"天然气工业","32","1","—","期刊论文","—","未获取"
中文,"王志刚;李根生;何吉祥等","页岩气水平井钻完井关键技术",2013,"石油钻探技术","41","5","—","期刊论文","—","未获取"
中文,"李军;刘合;王维旭等","页岩气压裂施工风险分析与控制措施",2016,"石油工业技术监督","32","10","—","期刊论文","—","未获取"
中文,"国家安全生产监督管理总局","石油天然气安全规程: AQ 2012-2007",2007,"煤炭工业出版社","—","—","—","标准","—","未获取"
中文,"国家能源局","石油天然气工业健康、安全与环境管理体系: SY/T 6276-2014",2014,"石油工业出版社","—","—","—","标准","—","未获取"
中文,"国家能源局","页岩气发展规划(2016-2020年)",2016,"国家能源局","—","—","—","报告","—","未获取"
英文,"LEWIS P;PEREZ E;PIKTUS A;PETRONI F;KARPUKHIN V;GOYAL N et al.","Retrieval-augmented generation for knowledge-intensive NLP tasks",2020,"Advances in Neural Information Processing Systems","33","—","9459-9474","会议论文","—","未获取"
英文,"GUU K;LEE K;TUNG Z;PASUPAT P;CHANG M W","REALM: Retrieval-augmented language model pre-training",2020,"Proceedings of the 37th International Conference on Machine Learning","119","—","3929-3938","会议论文","—","未获取"
英文,"KARPUKHIN V;OGUZ B;MIN S;LEWIS P;WU L;EDUNOV S et al.","Dense passage retrieval for open-domain question answering",2020,"Proceedings of EMNLP 2020","—","—","6769-6781","会议论文","—","未获取"
英文,"EDGE D;TRINH H;CHENG N;BRADLEY J;CHAO A;MODY A et al.","From local to global: A Graph RAG approach to query-focused summarization",2024,"arXiv","—","—","—","预印本","arXiv:2404.16130","未获取"
英文,"GAO Y;XIONG Y;GAO X;JIA K;PAN J;BI Y et al.","Retrieval-augmented generation for large language models: A survey",2023,"arXiv","—","—","—","预印本","arXiv:2312.10997","未获取"
英文,"ZHAO P;ZHANG H;YU Q;WANG Z;GENG Y;FU F et al.","Retrieval-augmented generation for AI-generated content: A survey",2024,"arXiv","—","—","—","预印本","arXiv:2402.19473","未获取"
英文,"ZHANG Q;CHEN S;BEI Y;YUAN Z;ZHOU H;HONG Z et al.","A survey of Graph Retrieval-Augmented Generation for customized large language models",2025,"arXiv","—","—","—","预印本","arXiv:2501.13958","未获取"
英文,"JI S;PAN S;CAMBRIA E;MARTTINEN P;YU P S","A survey on knowledge graphs: Representation, acquisition, and applications",2022,"IEEE Transactions on Neural Networks and Learning Systems","33","2","494-514","期刊论文","10.1109/TNNLS.2021.3070843","未获取"
英文,"HOGAN A;BLOMQVIST E;COCHEZ M;D'AMATO C;DE MELO G;GUTIERREZ C et al.","Knowledge graphs",2021,"ACM Computing Surveys","54","4","1-37","期刊论文","10.1145/3447772","未获取"
英文,"ZHAO J;REN L;JIANG T;HU D;WU L","Ten years of gas shale fracturing in China: Review and prospect",2022,"Natural Gas Industry B","9","2","—","期刊论文","—","未获取"
